1412844546.079063
t,t,u
1412844546.079063
t,t,u
g,g,u
g,u,g
1412844546.079063
t,t,u
g,g,u
g,u,g
u,u,o
1412845432.500635
o,b,o
o,g,u
1412845941.529227
t,o,u
o,o,u
1412846076.323262
o,o,o
1412846165.260273
t,g,u
t,o,t
o,o,o
o,o,t
t,o,o
o,o,o
o,u,o
1412846457.301602
g,t,t
1412846576.175236
g,ut,o
1412846672.836922
t,t,g
1412846731.374743
u,o,u
t,g,u
u,t,
t,t,t
g,g,u
t,t,o
